team_name,FGM,FG %,XPM,XP Pct,KRet TD,PRet T,FGM_field-goals,Att,FG %_field-goals,FG Blk,field-goals_Lng,1-19_Att,1-19_Md,1-19_Pct,20-29_Att,20-29_Md,20-29_Pct,30-39_Att,30-39_Md,30-39_Pct,40-49_Att,40-49_Md,40-49_Pct,50-59_Att,50-59_Md,50-59_Pct,60+_Att,60+_Md,60+_Pct,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD,Avg,Ret_kickoff-returns,Yds_kickoff-returns,KRet TD_kickoff-returns,20+,40+,FC,FUM,kickoff-returns_Lng,Att_punting,Cmp,Cmp %,Yds/Att,Pass Yds,TD_punting,INT,Rate,1st,1st%,20+_punting,40+_punting,Sck,SckY,punting_Lng,Avg_punt-returns,Ret_punt-returns,Yds_punt-returns,PRet T_punt-returns,20+_punt-returns,40+_punt-returns,FC_punt-returns,FUM_punt-returns,punt-returns_Lng
Chiefs,19,100,24,100,0,0,19,19,100,0,60.0,0,0,0.0,3,3,100.0,10,10,100.0,3,3,100.0,2,2,100.0,1,1,100.0,49,3206,47,95.9,2,25,0,0,0,0,17,4,68,0,2,0,0,0,20.0,383,256,66.8,6.9,2650,19,11,91.2,130,33.9,29,4,13,98,54.0,7.6,27,204,0,3,1,11,4,50.0
Raiders,19,86.4,16,100,0,0,19,22,86.4,1,54.0,0,0,0.0,8,8,100.0,3,3,100.0,8,7,87.5,3,1,33.33333333333333,0,0,0.0,47,3018,31,66,16,21.1,0,0,0,0,24.3,7,170,0,6,1,1,0,40.0,355,223,62.8,6.7,2382,10,17,71.8,118,33.2,20,4,27,201,50.0,10.6,14,149,0,1,0,6,1,32.0
Saints,19,79.2,19,100,0,1,19,24,79.2,0,55.0,0,0,0.0,7,6,85.71428571428571,4,4,100.0,7,5,71.42857142857143,6,4,66.66666666666666,0,0,0.0,51,3326,47,92.2,4,21,0,0,0,0,21.4,16,343,0,9,0,1,1,28.0,382,248,64.9,6.6,2526,13,7,87.4,113,29.6,28,8,24,152,58.0,14.9,17,253,1,2,1,20,0,76.0
Cardinals,19,90.5,11,91.7,0,0,19,21,90.5,0,62.0,0,0,0.0,3,3,100.0,6,5,83.33333333333334,5,5,100.0,6,5,83.33333333333334,1,1,100.0,48,3013,41,85.4,3,21,2,1,0,0,18,10,180,0,4,0,0,0,28.0,349,218,62.5,6,2094,9,9,77,107,30.7,21,3,29,204,69.0,9.9,21,207,0,2,1,8,1,49.0
Eagles,18,90,29,96.7,0,0,18,20,90,0,61.0,0,0,0.0,5,5,100.0,6,5,83.33333333333334,3,3,100.0,5,4,80.0,1,1,100.0,55,3565,45,81.8,10,30.2,0,0,0,0,20.6,5,103,0,2,0,1,0,38.0,327,224,68.5,7.6,2497,15,9,94.8,111,33.9,35,7,27,149,63.0,14.6,19,277,0,6,1,8,1,52.0
Steelers,18,94.7,14,100,0,0,18,19,94.7,0,57.0,0,0,0.0,5,5,100.0,3,3,100.0,6,6,100.0,4,4,100.0,1,0,0.0,44,2797,31,70.4,11,25.4,0,0,0,0,23.1,16,369,0,11,0,2,0,37.0,313,188,60.1,6,1878,7,6,76.6,80,25.6,21,3,23,178,72.0,8,17,136,0,1,0,9,1,21.0
Panthers,17,85,14,93.3,0,1,17,20,85,0,56.0,0,0,0.0,2,2,100.0,6,6,100.0,7,6,85.71428571428571,5,3,60.0,0,0,0.0,41,2435,26,63.4,10,24.7,4,0,1,0,31.3,12,376,0,12,2,0,1,52.0,378,233,61.6,5.4,2051,11,8,76.9,104,27.5,18,4,39,307,48.0,9.6,23,222,1,2,1,11,1,79.0
Colts,17,85,25,100,0,0,17,20,85,1,57.0,0,0,0.0,5,5,100.0,2,2,100.0,4,3,75.0,8,7,87.5,1,0,0.0,55,3542,42,76.4,10,25.6,0,0,0,0,23.6,5,118,0,2,1,5,0,42.0,340,213,62.6,6.8,2298,11,7,84.7,106,31.2,30,6,22,117,75.0,9.2,18,166,0,2,0,14,2,32.0
Vikings,17,77.3,26,92.9,0,0,17,22,77.3,1,54.0,1,1,100.0,6,6,100.0,5,5,100.0,4,2,50.0,6,3,50.0,0,0,0.0,58,3697,43,74.1,13,24,1,0,1,0,23,6,138,0,4,0,1,0,33.0,417,287,68.8,7.4,3079,22,6,101.8,147,35.2,46,5,25,145,62.0,7.9,23,182,0,2,0,11,1,24.0
49ers,17,85,37,100,0,0,17,20,85,0,57.0,0,0,0.0,6,6,100.0,7,7,100.0,4,2,50.0,3,2,66.66666666666666,0,0,0.0,63,3979,35,55.6,25,23.3,0,0,2,0,21.6,11,237,0,6,0,0,0,34.0,309,216,69.9,9.3,2878,19,6,111.6,133,43,48,7,21,127,76.0,8.4,23,194,0,0,0,9,1,19.0
